root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940638730805,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940632629551,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940623745816,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940605765408,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940653456630,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940635244133,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,right,
720575940633391246,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,right,
720575940615515039,intrinsic,optic,optic_lobe_intrinsic,t1_neuron,,left,
720575940615555746,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940617997115,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940635722335,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940611059012,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940604992457,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940631030124,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940618802757,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940630374871,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940645252643,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940621930273,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940639820477,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940612760306,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940628682314,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940623746282,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940639680573,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940630033767,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940626610831,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
